                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.47173,                0.51013,                 1.0335,                0.88991,                0.59381,                0.63412,                0.52162,                0.69438,                 1.0403,                 1.1497,             0.00014862,             0.00014862,             0.00014862
                     91,                 0.4536,                0.49932,                 1.0176,                0.90771,                0.59083,                 0.6318,                0.51383,                0.73456,                 1.0157,                 1.1673,             0.00013625,             0.00013625,             0.00013625
                     92,                0.43955,                0.45904,                 1.0036,                0.88729,                0.59508,                0.63425,                0.52071,                0.70039,                 0.9917,                  1.142,             0.00012387,             0.00012387,             0.00012387
                     93,                0.41657,                0.43423,                0.97527,                0.88966,                0.59896,                0.63381,                0.52361,                0.70336,                 1.0176,                 1.1392,              0.0001115,              0.0001115,              0.0001115
                     94,                0.41647,                0.42987,                0.99459,                0.88531,                0.59751,                0.63147,                0.52376,                0.67899,                 1.0487,                 1.1228,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.40729,                0.41996,                0.99096,                0.88713,                0.59827,                0.63393,                0.52847,                0.69489,                 1.0168,                 1.1349,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.40503,                0.39661,                0.97703,                0.88688,                 0.5967,                0.63522,                0.52854,                0.69302,                 1.0328,                 1.1359,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.41338,                0.40481,                 1.0017,                0.88095,                0.59434,                0.63272,                0.52788,                 0.6824,                  1.036,                 1.1354,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.40572,                0.39286,                0.99045,                0.88928,                0.59158,                0.63364,                0.52383,                0.68966,                 1.0381,                 1.1344,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.39906,                0.39829,                0.98422,                0.88898,                0.59469,                0.63258,                0.52466,                0.69361,                 1.0355,                 1.1343,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.39107,                0.39087,                0.97583,                0.89927,                0.59078,                0.63372,                0.52573,                0.68551,                 1.0364,                 1.1298,             2.4875e-05,             2.4875e-05,             2.4875e-05
