lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,hu_moment0,hu_moment1,hu_moment2,hu_moment3,hu_moment4,hu_moment5,hu_moment6,mean_edge,std_dev_edge
2.4e-05,0.00028,0.0,0.003768,0.0,0.015184,0.0,0.004004,0.97674,0.0013755548925846886,1.2428339904785663e-08,6.579164111704198e-12,5.477175608799769e-11,8.159641347092632e-22,5.173742651059365e-15,-6.443911257422008e-22,30.862762576250624,167.0916822770122
4e-06,0.000232,0.0,0.002564,0.0,0.004796,0.0,0.00252,0.989884,0.0006805398430080244,4.194344152376335e-08,5.932003022381297e-12,3.3487748941584864e-13,1.3884332594093828e-25,9.056183096994377e-18,4.511028990716651e-25,16.329971911255914,121.34436788486559
0.000116,0.000608,0.0,0.010768,0.0,0.021328,0.0,0.010972,0.956208,0.0008849021505896337,5.491869020805667e-09,3.977468512151262e-11,1.758641216126609e-11,-4.614178107108009e-22,-9.803314586168188e-16,-5.860404518165418e-23,70.64811063772875,245.88063621057927
8e-05,0.00076,0.0,0.009984,0.0,0.02196,0.0,0.010756,0.95646,0.0011196847134532495,3.4877532031721432e-09,3.748303921821497e-13,8.767130535303802e-12,-4.0623131837918235e-24,-5.060635946477516e-16,1.536497360384355e-23,66.05706132553213,236.6244050157018
2.4e-05,0.000328,0.0,0.004572,0.0,0.015492,0.0,0.004512,0.975072,0.0015294368995463063,3.445825704564915e-08,2.3347166953369217e-11,1.2016738167128492e-10,5.194694128039817e-21,2.0576875750429842e-14,-3.6780584218032525e-21,34.177162836807895,175.49715650239557
4.8e-05,0.00074,0.0,0.007884,0.0,0.02086,0.0,0.007584,0.962884,0.0014853429330478505,2.039713812155993e-08,7.360501862867887e-11,2.37261012581492e-10,2.4043186848074575e-20,1.149424837011702e-14,-2.0124611069924706e-20,52.59706841525092,213.72583838675527
7.6e-05,0.000568,0.0,0.006452,0.0,0.0182,0.0,0.006352,0.968352,0.0016251650037674582,5.912549153972346e-09,1.0553980653362239e-10,4.6149305304727864e-10,9.573657265918977e-20,2.4611335226152684e-14,-3.4751775053223356e-20,40.948334430030904,188.88005375742125
0.000112,0.001276,0.0,0.010004,0.0,0.015904,0.0,0.009388,0.963316,0.0007678010090401051,6.072290607784921e-08,3.721404055720291e-11,1.084613797632908e-11,-7.7812467071974885e-25,-4.4075513956078707e-16,2.1790306129823856e-22,61.30437347993855,226.93500962220926
0.00014,0.001932,0.0,0.019584,0.0,0.035412,0.0,0.019664,0.923268,0.0010362260432402698,2.3225613761688136e-09,7.283605584437127e-11,6.536016616690534e-11,-1.0100681759748003e-21,-3.0817288948324032e-15,-4.395078413310327e-21,120.86494096643291,307.9756952182764
6e-05,0.00062,0.0,0.005004,0.0,0.008708,0.0,0.004588,0.98102,0.0007525114448296761,1.3670626221947177e-07,8.005879826157908e-12,1.8892121248744675e-13,1.2134641696061584e-25,4.9628020078274635e-17,-1.9813462357472997e-25,31.204448980501656,165.29380255721406
0.000204,0.001868,0.0,0.014464,0.0,0.022224,0.0,0.012396,0.948844,0.000918848751307216,5.849030657753169e-08,7.90783011948464e-11,2.098552362584446e-11,-8.536123795912658e-22,2.2559939404266253e-15,-4.665372154287295e-23,84.76761070352926,262.9058176906987
6.8e-05,0.000516,0.0,0.003312,0.0,0.007932,0.0,0.003304,0.984868,0.0006828470309328273,2.224115093888866e-08,1.9139708034681626e-11,1.4181654216650998e-13,-2.0726373557488874e-25,8.593756926087103e-18,-1.0785224717823041e-25,21.362073971726325,136.32322691172803
